,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
264,1703761200.0,6.347089900352122e+18,2412.5883496896145,2392.617430953369,2402.8555151202804,2.5402214444706763e+33,1.2306756606473597e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
265,1703757600.0,8.131772023837977e+18,2409.0027549256047,2373.1057932724925,2400.5021366680808,2.5400916282395077e+33,1.2306232765349452e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
266,1703754000.0,9.334251227936602e+18,2395.2617691059468,2360.13723911846,2388.236083862149,2.5399862705107665e+33,1.2305882823178368e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
267,1703750400.0,9.493151395579216e+18,2389.2667838331304,2364.57984637465,2381.9317328625757,2.5398402099345327e+33,1.2305313792109793e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
268,1703746800.0,9.549929441976201e+18,2381.256681314355,2369.4353844547327,2379.9745133110005,2.5396034219787585e+33,1.230433286209449e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
269,1703743200.0,9.552045554292281e+18,2391.915995033041,2372.8143749689284,2376.0252970558713,2.5395177867647632e+33,1.2304000869739311e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
270,1703739600.0,8.301539864901538e+18,2406.5936793484616,2379.858326583594,2390.7670356649182,2.5394691166886293e+33,1.2303689385868856e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
271,1703736000.0,4.902744636756546e+18,2425.8529156586064,2405.092813975165,2405.092813975165,2.5393811542657247e+33,1.2303216725123782e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
272,1703732400.0,4.759710292675463e+18,2420.7038016460106,2410.634868695296,2415.2102827163635,2.539264292733987e+33,1.230266010376003e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
273,1703728800.0,4.720566023276239e+18,2419.842022588049,2405.6006480655824,2414.106116115503,2.5391951530436577e+33,1.2302382316921749e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
